genome,location,length
V2DD.contigs.10kb_virus_k127_1144916|provirus_21_77767.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1144916|provirus_21_77767.fasta,77747
V2DD.contigs.10kb_virus_k127_1153311 flag=0 multi=10.0000 len=52254.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1153311 flag=0 multi=10.0000 len=52254.fasta,52254
V2DD.contigs.10kb_virus_k127_1153747 flag=1 multi=27.0000 len=68695.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1153747 flag=1 multi=27.0000 len=68695.fasta,68695
V2DD.contigs.10kb_virus_k127_1157807 flag=1 multi=29.0000 len=50984.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1157807 flag=1 multi=29.0000 len=50984.fasta,50984
V2DD.contigs.10kb_virus_k127_1159595 flag=0 multi=30.0000 len=64754.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1159595 flag=0 multi=30.0000 len=64754.fasta,64754
V2DD.contigs.10kb_virus_k127_1160104 flag=3 multi=25.0000 len=50486.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1160104 flag=3 multi=25.0000 len=50486.fasta,50486
V2DD.contigs.10kb_virus_k127_1161507 flag=1 multi=8.0000 len=64937.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1161507 flag=1 multi=8.0000 len=64937.fasta,64937
V2DD.contigs.10kb_virus_k127_1165906 flag=0 multi=24.8547 len=62422.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1165906 flag=0 multi=24.8547 len=62422.fasta,62422
V2DD.contigs.10kb_virus_k127_1168123 flag=1 multi=8.9970 len=50905.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1168123 flag=1 multi=8.9970 len=50905.fasta,50905
V2DD.contigs.10kb_virus_k127_1169000 flag=0 multi=21.9962 len=55927.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1169000 flag=0 multi=21.9962 len=55927.fasta,55927
V2DD.contigs.10kb_virus_k127_1181456 flag=0 multi=9.9870 len=139748.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1181456 flag=0 multi=9.9870 len=139748.fasta,139748
V2DD.contigs.10kb_virus_k127_1184602 flag=3 multi=56.0000 len=50232.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1184602 flag=3 multi=56.0000 len=50232.fasta,50232
V2DD.contigs.10kb_virus_k127_119107 flag=0 multi=12.0000 len=60371.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_119107 flag=0 multi=12.0000 len=60371.fasta,60371
V2DD.contigs.10kb_virus_k127_1191593 flag=0 multi=27.0000 len=60968.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1191593 flag=0 multi=27.0000 len=60968.fasta,60968
V2DD.contigs.10kb_virus_k127_1193599 flag=1 multi=16.0000 len=53974.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1193599 flag=1 multi=16.0000 len=53974.fasta,53974
V2DD.contigs.10kb_virus_k127_11964 flag=0 multi=17.0000 len=58804.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_11964 flag=0 multi=17.0000 len=58804.fasta,58804
V2DD.contigs.10kb_virus_k127_1205259 flag=0 multi=16.4131 len=54084.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1205259 flag=0 multi=16.4131 len=54084.fasta,54084
V2DD.contigs.10kb_virus_k127_1207624 flag=1 multi=13.9874 len=69609.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1207624 flag=1 multi=13.9874 len=69609.fasta,69609
V2DD.contigs.10kb_virus_k127_1224984 flag=0 multi=12.0000 len=125975.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1224984 flag=0 multi=12.0000 len=125975.fasta,125975
V2DD.contigs.10kb_virus_k127_1226755 flag=1 multi=20.0000 len=52045.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1226755 flag=1 multi=20.0000 len=52045.fasta,52045
V2DD.contigs.10kb_virus_k127_1227623 flag=3 multi=54.9953 len=106014.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1227623 flag=3 multi=54.9953 len=106014.fasta,106014
V2DD.contigs.10kb_virus_k127_1227624|provirus_42_55789.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1227624|provirus_42_55789.fasta,55748
V2DD.contigs.10kb_virus_k127_1227625 flag=3 multi=14.0001 len=105204.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1227625 flag=3 multi=14.0001 len=105204.fasta,105204
V2DD.contigs.10kb_virus_k127_1227628 flag=3 multi=25.0004 len=58210.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1227628 flag=3 multi=25.0004 len=58210.fasta,58210
V2DD.contigs.10kb_virus_k127_1227629 flag=3 multi=17.0003 len=52900.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1227629 flag=3 multi=17.0003 len=52900.fasta,52900
V2DD.contigs.10kb_virus_k127_1227631 flag=3 multi=17.0002 len=77292.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1227631 flag=3 multi=17.0002 len=77292.fasta,77292
V2DD.contigs.10kb_virus_k127_1227632 flag=3 multi=9.0001 len=77722.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1227632 flag=3 multi=9.0001 len=77722.fasta,77722
V2DD.contigs.10kb_virus_k127_1227637 flag=3 multi=21.9966 len=54744.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1227637 flag=3 multi=21.9966 len=54744.fasta,54744
V2DD.contigs.10kb_virus_k127_1227648 flag=3 multi=11.0002 len=60986.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1227648 flag=3 multi=11.0002 len=60986.fasta,60986
V2DD.contigs.10kb_virus_k127_1227664 flag=3 multi=13.0002 len=63710.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1227664 flag=3 multi=13.0002 len=63710.fasta,63710
V2DD.contigs.10kb_virus_k127_1227671 flag=3 multi=55.0007 len=81553.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1227671 flag=3 multi=55.0007 len=81553.fasta,81553
V2DD.contigs.10kb_virus_k127_1227677 flag=3 multi=8.9955 len=51294.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1227677 flag=3 multi=8.9955 len=51294.fasta,51294
V2DD.contigs.10kb_virus_k127_1227798 flag=3 multi=15.0003 len=59019.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1227798 flag=3 multi=15.0003 len=59019.fasta,59019
V2DD.contigs.10kb_virus_k127_1227807 flag=3 multi=16.9977 len=131955.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_1227807 flag=3 multi=16.9977 len=131955.fasta,131955
V2DD.contigs.10kb_virus_k127_12836|provirus_1_62718.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_12836|provirus_1_62718.fasta,62718
V2DD.contigs.10kb_virus_k127_135358 flag=0 multi=10.9986 len=69481.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_135358 flag=0 multi=10.9986 len=69481.fasta,69481
V2DD.contigs.10kb_virus_k127_144919 flag=1 multi=8.0000 len=52906.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_144919 flag=1 multi=8.0000 len=52906.fasta,52906
V2DD.contigs.10kb_virus_k127_149576 flag=1 multi=14.0000 len=56727.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_149576 flag=1 multi=14.0000 len=56727.fasta,56727
V2DD.contigs.10kb_virus_k127_154573 flag=3 multi=120.0000 len=53390.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_154573 flag=3 multi=120.0000 len=53390.fasta,53390
V2DD.contigs.10kb_virus_k127_155732 flag=0 multi=8.0075 len=55464.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_155732 flag=0 multi=8.0075 len=55464.fasta,55464
V2DD.contigs.10kb_virus_k127_158856 flag=1 multi=8.0000 len=53862.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_158856 flag=1 multi=8.0000 len=53862.fasta,53862
V2DD.contigs.10kb_virus_k127_159047 flag=1 multi=10.0000 len=63316.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_159047 flag=1 multi=10.0000 len=63316.fasta,63316
V2DD.contigs.10kb_virus_k127_160751 flag=0 multi=11.0000 len=63758.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_160751 flag=0 multi=11.0000 len=63758.fasta,63758
V2DD.contigs.10kb_virus_k127_163257|provirus_1_61861.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_163257|provirus_1_61861.fasta,61861
V2DD.contigs.10kb_virus_k127_166418 flag=0 multi=429.0000 len=66484.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_166418 flag=0 multi=429.0000 len=66484.fasta,66484
V2DD.contigs.10kb_virus_k127_186699 flag=1 multi=25.0000 len=54284.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_186699 flag=1 multi=25.0000 len=54284.fasta,54284
V2DD.contigs.10kb_virus_k127_189609 flag=0 multi=13.8852 len=88007.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_189609 flag=0 multi=13.8852 len=88007.fasta,88007
V2DD.contigs.10kb_virus_k127_196569 flag=0 multi=51.0000 len=62773.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_196569 flag=0 multi=51.0000 len=62773.fasta,62773
V2DD.contigs.10kb_virus_k127_206184 flag=0 multi=30.2735 len=60618.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_206184 flag=0 multi=30.2735 len=60618.fasta,60618
V2DD.contigs.10kb_virus_k127_206402 flag=1 multi=9.0000 len=70219.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_206402 flag=1 multi=9.0000 len=70219.fasta,70219
V2DD.contigs.10kb_virus_k127_217467 flag=0 multi=24.0000 len=73608.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_217467 flag=0 multi=24.0000 len=73608.fasta,73608
V2DD.contigs.10kb_virus_k127_244560 flag=0 multi=117.9371 len=83001.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_244560 flag=0 multi=117.9371 len=83001.fasta,83001
V2DD.contigs.10kb_virus_k127_255812 flag=1 multi=12.0000 len=77043.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_255812 flag=1 multi=12.0000 len=77043.fasta,77043
V2DD.contigs.10kb_virus_k127_264087 flag=0 multi=11.0000 len=59790.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_264087 flag=0 multi=11.0000 len=59790.fasta,59790
V2DD.contigs.10kb_virus_k127_264921 flag=0 multi=12.9982 len=68617.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_264921 flag=0 multi=12.9982 len=68617.fasta,68617
V2DD.contigs.10kb_virus_k127_267285 flag=1 multi=11.8877 len=59739.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_267285 flag=1 multi=11.8877 len=59739.fasta,59739
V2DD.contigs.10kb_virus_k127_268820 flag=0 multi=11.9992 len=141581.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_268820 flag=0 multi=11.9992 len=141581.fasta,141581
V2DD.contigs.10kb_virus_k127_270625 flag=0 multi=59.0000 len=75233.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_270625 flag=0 multi=59.0000 len=75233.fasta,75233
V2DD.contigs.10kb_virus_k127_27270 flag=1 multi=13.0000 len=113343.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_27270 flag=1 multi=13.0000 len=113343.fasta,113343
V2DD.contigs.10kb_virus_k127_275707 flag=1 multi=9.0000 len=53983.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_275707 flag=1 multi=9.0000 len=53983.fasta,53983
V2DD.contigs.10kb_virus_k127_289167 flag=0 multi=11.9597 len=58573.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_289167 flag=0 multi=11.9597 len=58573.fasta,58573
V2DD.contigs.10kb_virus_k127_295487 flag=1 multi=17.0000 len=104935.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_295487 flag=1 multi=17.0000 len=104935.fasta,104935
V2DD.contigs.10kb_virus_k127_296172 flag=0 multi=19.0000 len=121736.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_296172 flag=0 multi=19.0000 len=121736.fasta,121736
V2DD.contigs.10kb_virus_k127_297720 flag=1 multi=14.0000 len=61356.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_297720 flag=1 multi=14.0000 len=61356.fasta,61356
V2DD.contigs.10kb_virus_k127_307317 flag=0 multi=15.8076 len=52943.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_307317 flag=0 multi=15.8076 len=52943.fasta,52943
V2DD.contigs.10kb_virus_k127_308799 flag=1 multi=9.0000 len=54517.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_308799 flag=1 multi=9.0000 len=54517.fasta,54517
V2DD.contigs.10kb_virus_k127_313564 flag=3 multi=43.0000 len=99366.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_313564 flag=3 multi=43.0000 len=99366.fasta,99366
V2DD.contigs.10kb_virus_k127_316477 flag=0 multi=18.8652 len=61114.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_316477 flag=0 multi=18.8652 len=61114.fasta,61114
V2DD.contigs.10kb_virus_k127_318008 flag=1 multi=16.2531 len=199753.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_318008 flag=1 multi=16.2531 len=199753.fasta,199753
V2DD.contigs.10kb_virus_k127_320357 flag=0 multi=16.0000 len=58173.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_320357 flag=0 multi=16.0000 len=58173.fasta,58173
V2DD.contigs.10kb_virus_k127_321251 flag=3 multi=519.0000 len=63194.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_321251 flag=3 multi=519.0000 len=63194.fasta,63194
V2DD.contigs.10kb_virus_k127_339544 flag=3 multi=47.0000 len=71090.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_339544 flag=3 multi=47.0000 len=71090.fasta,71090
V2DD.contigs.10kb_virus_k127_352349 flag=1 multi=12.0000 len=106566.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_352349 flag=1 multi=12.0000 len=106566.fasta,106566
V2DD.contigs.10kb_virus_k127_359584 flag=3 multi=43.0000 len=77572.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_359584 flag=3 multi=43.0000 len=77572.fasta,77572
V2DD.contigs.10kb_virus_k127_361551 flag=1 multi=10.0000 len=110422.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_361551 flag=1 multi=10.0000 len=110422.fasta,110422
V2DD.contigs.10kb_virus_k127_383304 flag=0 multi=24.2240 len=70219.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_383304 flag=0 multi=24.2240 len=70219.fasta,70219
V2DD.contigs.10kb_virus_k127_383685 flag=1 multi=22.9976 len=66837.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_383685 flag=1 multi=22.9976 len=66837.fasta,66837
V2DD.contigs.10kb_virus_k127_386517 flag=0 multi=139.3774 len=72014.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_386517 flag=0 multi=139.3774 len=72014.fasta,72014
V2DD.contigs.10kb_virus_k127_386868 flag=0 multi=11.0000 len=68749.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_386868 flag=0 multi=11.0000 len=68749.fasta,68749
V2DD.contigs.10kb_virus_k127_389092 flag=0 multi=26.3372 len=57229.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_389092 flag=0 multi=26.3372 len=57229.fasta,57229
V2DD.contigs.10kb_virus_k127_393220 flag=0 multi=25.6933 len=50943.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_393220 flag=0 multi=25.6933 len=50943.fasta,50943
V2DD.contigs.10kb_virus_k127_395007 flag=0 multi=15.9923 len=56326.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_395007 flag=0 multi=15.9923 len=56326.fasta,56326
V2DD.contigs.10kb_virus_k127_399681 flag=0 multi=10.9989 len=90098.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_399681 flag=0 multi=10.9989 len=90098.fasta,90098
V2DD.contigs.10kb_virus_k127_400064 flag=0 multi=767.2470 len=55027.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_400064 flag=0 multi=767.2470 len=55027.fasta,55027
V2DD.contigs.10kb_virus_k127_401358 flag=3 multi=32.0000 len=96341.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_401358 flag=3 multi=32.0000 len=96341.fasta,96341
V2DD.contigs.10kb_virus_k127_404943 flag=1 multi=10.3995 len=69513.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_404943 flag=1 multi=10.3995 len=69513.fasta,69513
V2DD.contigs.10kb_virus_k127_409917 flag=0 multi=11.9991 len=67867.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_409917 flag=0 multi=11.9991 len=67867.fasta,67867
V2DD.contigs.10kb_virus_k127_418571 flag=0 multi=20.0000 len=57651.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_418571 flag=0 multi=20.0000 len=57651.fasta,57651
V2DD.contigs.10kb_virus_k127_42954 flag=3 multi=16.0000 len=66756.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_42954 flag=3 multi=16.0000 len=66756.fasta,66756
V2DD.contigs.10kb_virus_k127_429756 flag=0 multi=10.0242 len=107716.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_429756 flag=0 multi=10.0242 len=107716.fasta,107716
V2DD.contigs.10kb_virus_k127_432311 flag=0 multi=8.9869 len=61712.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_432311 flag=0 multi=8.9869 len=61712.fasta,61712
V2DD.contigs.10kb_virus_k127_432834 flag=0 multi=9.9949 len=53231.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_432834 flag=0 multi=9.9949 len=53231.fasta,53231
V2DD.contigs.10kb_virus_k127_432948 flag=1 multi=13.3295 len=67804.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_432948 flag=1 multi=13.3295 len=67804.fasta,67804
V2DD.contigs.10kb_virus_k127_438635 flag=0 multi=26.9908 len=56654.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_438635 flag=0 multi=26.9908 len=56654.fasta,56654
V2DD.contigs.10kb_virus_k127_440951 flag=0 multi=20.0805 len=55352.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_440951 flag=0 multi=20.0805 len=55352.fasta,55352
V2DD.contigs.10kb_virus_k127_451494 flag=1 multi=9.0000 len=52996.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_451494 flag=1 multi=9.0000 len=52996.fasta,52996
V2DD.contigs.10kb_virus_k127_461537 flag=0 multi=16.1260 len=97565.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_461537 flag=0 multi=16.1260 len=97565.fasta,97565
V2DD.contigs.10kb_virus_k127_464499 flag=0 multi=11.0000 len=60788.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_464499 flag=0 multi=11.0000 len=60788.fasta,60788
V2DD.contigs.10kb_virus_k127_466496 flag=1 multi=17.0000 len=66870.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_466496 flag=1 multi=17.0000 len=66870.fasta,66870
V2DD.contigs.10kb_virus_k127_469559 flag=1 multi=12.0000 len=51576.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_469559 flag=1 multi=12.0000 len=51576.fasta,51576
V2DD.contigs.10kb_virus_k127_474742 flag=0 multi=18.9932 len=52683.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_474742 flag=0 multi=18.9932 len=52683.fasta,52683
V2DD.contigs.10kb_virus_k127_478540 flag=1 multi=17.0000 len=164370.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_478540 flag=1 multi=17.0000 len=164370.fasta,164370
V2DD.contigs.10kb_virus_k127_480105 flag=1 multi=24.0000 len=128770.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_480105 flag=1 multi=24.0000 len=128770.fasta,128770
V2DD.contigs.10kb_virus_k127_48133 flag=0 multi=49.0000 len=58739.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_48133 flag=0 multi=49.0000 len=58739.fasta,58739
V2DD.contigs.10kb_virus_k127_494545 flag=0 multi=16.9340 len=126967.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_494545 flag=0 multi=16.9340 len=126967.fasta,126967
V2DD.contigs.10kb_virus_k127_499840 flag=1 multi=11.2659 len=93322.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_499840 flag=1 multi=11.2659 len=93322.fasta,93322
V2DD.contigs.10kb_virus_k127_50610 flag=0 multi=24.9957 len=58696.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_50610 flag=0 multi=24.9957 len=58696.fasta,58696
V2DD.contigs.10kb_virus_k127_507281 flag=1 multi=17.9221 len=58311.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_507281 flag=1 multi=17.9221 len=58311.fasta,58311
V2DD.contigs.10kb_virus_k127_510300 flag=1 multi=17.0000 len=56327.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_510300 flag=1 multi=17.0000 len=56327.fasta,56327
V2DD.contigs.10kb_virus_k127_511300 flag=1 multi=14.0000 len=59345.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_511300 flag=1 multi=14.0000 len=59345.fasta,59345
V2DD.contigs.10kb_virus_k127_511581 flag=0 multi=7.4943 len=66858.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_511581 flag=0 multi=7.4943 len=66858.fasta,66858
V2DD.contigs.10kb_virus_k127_520322 flag=1 multi=12.0000 len=58330.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_520322 flag=1 multi=12.0000 len=58330.fasta,58330
V2DD.contigs.10kb_virus_k127_523203 flag=0 multi=24.0000 len=214501.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_523203 flag=0 multi=24.0000 len=214501.fasta,214501
V2DD.contigs.10kb_virus_k127_533706 flag=1 multi=10.0000 len=60386.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_533706 flag=1 multi=10.0000 len=60386.fasta,60386
V2DD.contigs.10kb_virus_k127_541422 flag=0 multi=13.0000 len=65938.fasta,/home/lhillary/Projects/RnaOptimisation/special/contigs_combined/V2DD.contigs.10kb_virus_k127_541422 flag=0 multi=13.0000 len=65938.fasta,65938
